customer,nrg_prc,product,unit,geo\time	2018 	2017 
NHH,NETC_TRANS,4100,PC,BG	44.7300 	44.7600 
NHH,NETC_TRANS,4100,PC,CZ	5.5809 	7.7665 
NHH,NETC_TRANS,4100,PC,DK	13.0000 	11.0000 
NHH,NETC_TRANS,4100,PC,EE	36.0000 	36.0000 
NHH,NETC_TRANS,4100,PC,EL	51.4800 	: c
NHH,NETC_TRANS,4100,PC,FI	91.5000 	91.5000 e
NHH,NETC_TRANS,4100,PC,FR	41.5168 	37.1429 
NHH,NETC_TRANS,4100,PC,GE	18.0000 	: 
NHH,NETC_TRANS,4100,PC,HR	35.6400 	36.5800 
NHH,NETC_TRANS,4100,PC,HU	43.0977 e	43.1000 e
NHH,NETC_TRANS,4100,PC,IE	42.1111 	44.9557 
NHH,NETC_TRANS,4100,PC,LT	26.0400 	32.6697 
NHH,NETC_TRANS,4100,PC,LU	37.1700 	22.9600 
NHH,NETC_TRANS,4100,PC,LV	31.6600 	29.3300 
NHH,NETC_TRANS,4100,PC,MD	2.6997 	3.1000 
NHH,NETC_TRANS,4100,PC,MK	52.5770 	91.9045 
NHH,NETC_TRANS,4100,PC,NL	18.0000 e	18.0000 e
NHH,NETC_TRANS,4100,PC,PL	37.7029 	32.9020 
NHH,NETC_TRANS,4100,PC,PT	15.1940 	7.0000 
NHH,NETC_TRANS,4100,PC,RO	30.2021 e	32.6715 e
NHH,NETC_TRANS,4100,PC,RS	69.8214 	72.9800 
NHH,NETC_TRANS,4100,PC,SE	33.0200 	33.0200 
NHH,NETC_TRANS,4100,PC,SI	29.0000 	29.0000 
NHH,NETC_TRANS,4100,PC,SK	25.3000 	21.4700 
NHH,NETC_TRANS,4100,PC,TR	45.0000 e	42.0000 e
NHH,NETC_TRANS,4100,PC,UK	7.0000 	7.1000 
NHH,NETC_TRANS,6000,PC,AT	21.0000 e	18.0000 e
NHH,NETC_TRANS,6000,PC,BA	29.6800 	31.5100 
NHH,NETC_TRANS,6000,PC,BE	56.5574 	56.6878 e
NHH,NETC_TRANS,6000,PC,BG	33.7000 	32.6000 
NHH,NETC_TRANS,6000,PC,CY	39.0466 	: 
NHH,NETC_TRANS,6000,PC,CZ	: c	: c
NHH,NETC_TRANS,6000,PC,DK	43.0000 	42.0000 
NHH,NETC_TRANS,6000,PC,EE	37.0000 	37.0000 
NHH,NETC_TRANS,6000,PC,EL	42.7500 	30.7500 
NHH,NETC_TRANS,6000,PC,FI	20.0000 	25.0000 
NHH,NETC_TRANS,6000,PC,FR	38.6338 	37.2361 
NHH,NETC_TRANS,6000,PC,GE	62.5000 	: 
NHH,NETC_TRANS,6000,PC,HR	30.5000 	30.3100 
NHH,NETC_TRANS,6000,PC,HU	18.1188 	20.3825 e
NHH,NETC_TRANS,6000,PC,IE	34.6951 	30.1459 
NHH,NETC_TRANS,6000,PC,IS	40.0000 e	: 
NHH,NETC_TRANS,6000,PC,LT	43.5775 	41.2910 
NHH,NETC_TRANS,6000,PC,LU	10.8800 	8.1200 
NHH,NETC_TRANS,6000,PC,LV	30.6200 	31.7230 
NHH,NETC_TRANS,6000,PC,MD	: 	0.0000 
NHH,NETC_TRANS,6000,PC,ME	17.1300 	: 
NHH,NETC_TRANS,6000,PC,MK	16.1610 	15.2529 
NHH,NETC_TRANS,6000,PC,NL	18.0000 e	18.0000 e
NHH,NETC_TRANS,6000,PC,NO	40.7077 	33.4000 
NHH,NETC_TRANS,6000,PC,PL	28.2252 	30.8089 
NHH,NETC_TRANS,6000,PC,PT	27.0000 	24.0000 
NHH,NETC_TRANS,6000,PC,RO	30.8707 e	16.7341 e
NHH,NETC_TRANS,6000,PC,RS	9.1262 	8.0975 
NHH,NETC_TRANS,6000,PC,SE	12.2100 	12.2100 
NHH,NETC_TRANS,6000,PC,SI	24.4000 	24.6000 
NHH,NETC_TRANS,6000,PC,SK	19.6100 	19.6400 e
NHH,NETC_TRANS,6000,PC,TR	16.1130 e	16.9800 
NHH,NETC_TRANS,6000,PC,UK	30.0000 	30.2491 
NHH,NETC_TRANS,6000,PC,XK	23.9567 	30.9229 
