nrg_cons,nrg_prc,currency,geo\time	2018 	2017 	2016S2 	2015S2 	2014S2 	2013S2 	2012S2 	2011S2 	2010S2 	2009S2 	2008S2 	2007S2 
KWH_LE15000,NETC,NAT,LT	0.0325 	0.0297 	0.0316 	0.0255 	0.1005 	0.1053 	0.1652 	0.1474 	0.1622 	0.1052 	0.0990 	0.1190 
KWH_LE15000,NETC,NAT,LU	0.0564 	0.0479 	0.0673 	0.0637 	0.0637 	0.0640 	0.0656 	0.0665 	0.0670 	0.0663 	0.0680 	0.0703 
KWH_LE15000,NETC,NAT,LV	0.0536 	0.0557 	0.0566 	0.0549 	0.0543 	0.0371 	0.0387 	0.0387 	0.0327 	0.0325 	0.0324 	0.0212 
KWH_LE15000,NETC,NAT,MD	0.6649 	0.5886 	0.6156 	0.6000 	: 	: 	: 	: 	: 	: 	: 	: 
KWH_LE15000,NETC,NAT,ME	0.0386 	0.0384 	0.0408 	0.0408 	0.0409 	0.0416 	0.0386 	0.0367 	: 	: 	: 	: 
KWH_LE15000,NETC,NAT,MK	1.0243 	1.0980 	1.6247 	0.2610 	: 	: 	: 	: 	: 	: 	: 	: 
KWH_LE15000,NETC,NAT,MT	0.0240 	0.0250 	0.0220 	0.0220 	0.0220 	0.0220 	0.0220 	0.0220 	0.0220 	0.0220 	0.0220 	0.0094 
KWH_LE15000,NETC,NAT,NL	: u	: u	0.0666 	0.0653 	0.0703 	0.0724 	0.0682 	0.0590 	0.0543 	0.0524 	: 	: 
KWH_LE15000,NETC,NAT,NO	0.2906 	0.2815 	0.2659 	0.2596 	0.2596 	0.2642 	0.2645 	0.2790 	0.2779 	0.2472 	0.2354 	0.2343 
KWH_LE15000,NETC,NAT,PL	0.1657 	0.1731 	0.1886 	0.1954 	0.2016 	0.1903 	0.1810 	0.1760 	0.1625 	0.1507 	0.1453 	0.2417 
KWH_LE15000,NETC,NAT,PT	0.0435 	0.0481 	0.0494 	0.0405 	0.0499 	0.0429 	0.0403 	0.0345 	0.0349 	0.0403 	0.0272 	: 
KWH_LE15000,NETC,NAT,RO	0.1860 	0.1852 	0.1952 	0.2244 	0.2318 	0.2312 	0.2145 	0.2116 	0.2149 	0.2081 	0.2015 	0.1819 
KWH_LE15000,NETC,NAT,RS	2.5006 	2.4847 	2.5033 	2.4070 	2.4722 	2.4927 	: 	: 	: 	: 	: 	: 
KWH_LE15000,NETC,NAT,SE	0.3661 	0.3997 	0.3971 	0.3719 	0.3264 	0.3473 	0.3286 	0.3384 	0.2940 	0.2830 	0.2620 	0.2563 
KWH_LE15000,NETC,NAT,SI	0.0429 	0.0424 	0.0423 	0.0419 	0.0431 	0.0426 	0.0430 	0.0410 	0.0367 	0.0347 	0.0356 	: 
KWH_LE15000,NETC,NAT,SK	0.0185 	0.0169 	0.0481 	0.0461 	0.0476 	0.0484 	0.0457 	0.0462 	0.0389 	0.0423 	0.9800 	0.9600 
KWH_LE15000,NETC,NAT,TR	0.1202 	0.1135 	0.1084 	0.1110 	0.0873 	0.0804 	0.0781 	0.0709 	0.0384 	0.0327 	0.0272 	: 
KWH_LE15000,NETC,NAT,UK	0.0308 	0.0332 	0.0348 	0.0308 	0.0279 	0.0261 	0.0240 	0.0240 	: 	0.0300 	0.0310 	: 
KWH_LE15000,NETC,NAT,XK	0.0254 	0.0254 	0.0278 	0.0276 	0.0238 	0.0253 	: 	: 	: 	: 	: 	: 
KWH_LE15000,NETC,PPS,AL	: 	: 	0.0000 	0.0000 	: 	: 	: 	: 	: 	: 	: 	: 
KWH_LE15000,NETC,PPS,AT	0.0432 	0.0440 	0.0398 	0.0378 	0.0375 	0.0405 	0.0412 	0.0411 	0.0444 	0.0437 	0.0441 	: 
KWH_LE15000,NETC,PPS,BA	0.0573 	0.0571 	0.0594 	0.0578 	: 	0.0548 	0.0560 	: 	: 	: 	: 	: 
KWH_LE15000,NETC,PPS,BE	0.0741 	0.0680 	0.0754 	0.0751 	0.0719 	0.0637 	0.0602 	0.0572 	0.0509 	0.0466 	0.0482 	0.0446 
KWH_LE15000,NETC,PPS,BG	0.0504 	0.0484 	0.0502 	0.0486 	0.0417 	0.0619 	0.0700 	0.0652 	0.0499 	0.0560 	0.0622 	0.0654 
KWH_LE15000,NETC,PPS,CY	0.0359 	0.0354 d	0.0424 	0.0414 	0.0429 	0.0419 	0.0412 	0.0396 	0.0400 	: 	: 	: 
KWH_LE15000,NETC,PPS,CZ	0.0350 	0.0260 	0.0560 	0.0451 	0.0447 	0.0560 	0.0469 	0.0439 	0.0312 	0.0233 	0.0225 	0.0204 
KWH_LE15000,NETC,PPS,DE	0.0524 	0.0561 	0.0538 	0.0535 	0.0512 	0.0514 	0.0493 	0.0490 	0.0471 	0.0451 	0.0448 	0.0526 
KWH_LE15000,NETC,PPS,DK	0.0326 	0.0325 	0.0329 	0.0310 	0.0304 	0.0293 	0.0283 	0.0273 	0.0253 	0.0250 	0.0231 	0.0354 
KWH_LE15000,NETC,PPS,EE	0.0527 	0.0568 	0.0609 	0.0615 	0.0591 	0.0535 	0.0573 	0.0547 	0.0490 	0.0445 	0.0429 	0.0445 
KWH_LE15000,NETC,PPS,EL	0.0246 	0.0329 	0.0290 	0.0261 	0.0250 	0.0238 	0.0239 	0.0216 	0.0256 	0.0261 	: 	: 
KWH_LE15000,NETC,PPS,ES	0.0350 d	0.0364 d	0.0396 	0.0417 	0.0357 	0.0288 	0.0872 	0.0697 	0.0605 	0.0367 	0.0373 	: 
KWH_LE15000,NETC,PPS,FI	0.0249 	0.0237 	0.0228 	0.0204 	0.0204 	0.0207 	0.0205 	0.0201 	0.0196 	0.0181 	0.0171 	0.0167 
KWH_LE15000,NETC,PPS,FR	0.0376 	0.0390 	0.0401 	0.0391 	0.0409 	0.0334 	0.0359 	: 	: 	: 	: 	: 
KWH_LE15000,NETC,PPS,HR	0.0624 	0.0620 	0.0618 	0.0609 	0.0593 	0.0611 	0.0609 	0.0499 	0.0484 	0.0488 	0.0510 	0.0571 
KWH_LE15000,NETC,PPS,HU	0.0704 	0.0712 	0.0720 	0.0747 	0.0736 	0.0731 	0.0923 	: 	0.0843 	0.0797 	0.0526 	0.0404 
KWH_LE15000,NETC,PPS,IE	0.0483 	0.0468 	0.0461 	0.0452 	0.0504 	0.0583 	0.0497 	0.0423 	: 	: 	: 	: 
KWH_LE15000,NETC,PPS,IS	0.0067 	0.0051 	0.0035 	0.0116 	0.0125 	0.0101 	0.0360 	: 	: 	: 	: 	: 
KWH_LE15000,NETC,PPS,IT	0.0216 d	0.0240 d	0.0577 d	0.1147 	0.1159 	0.0981 	0.1050 	0.1053 	0.1040 	0.1170 	0.0520 	: 
KWH_LE15000,NETC,PPS,LT	0.0513 	0.0484 	0.0531 	0.0423 	0.0475 	0.0497 	0.0794 	0.0707 	0.0794 	0.0492 	0.0455 	0.0599 
KWH_LE15000,NETC,PPS,LU	0.0461 	0.0396 	0.0570 	0.0531 	0.0534 	0.0528 	0.0555 	0.0561 	0.0554 	0.0550 	0.0586 	0.0617 
KWH_LE15000,NETC,PPS,LV	0.0778 	0.0808 	0.0854 	0.0813 	0.0792 	0.0763 	0.0806 	0.0819 	0.0706 	0.0675 	0.0641 	0.0455 
KWH_LE15000,NETC,PPS,ME	0.0774 	0.0784 	0.0845 	0.0822 	0.0796 	0.0829 	0.0786 	0.0748 	: 	: 	: 	: 
KWH_LE15000,NETC,PPS,MK	0.0379 	0.0406 	0.0633 	0.0104 	: 	: 	: 	: 	: 	: 	: 	: 
KWH_LE15000,NETC,PPS,MT	0.0284 	0.0301 	0.0274 	0.0274 	0.0274 	0.0282 	0.0287 	0.0291 	0.0301 	0.0302 	0.0307 	0.0313 
KWH_LE15000,NETC,PPS,NL	: u	: u	0.0617 	0.0602 	0.0642 	0.0662 	0.0622 	0.0536 	0.0488 	0.0468 	: 	: 
KWH_LE15000,NETC,PPS,NO	0.0208 	0.0205 	0.0205 	0.0207 	0.0207 	0.0217 	0.0225 	0.0234 	0.0235 	0.0208 	0.0210 	0.0217 
KWH_LE15000,NETC,PPS,PL	0.0670 	0.0700 	0.0798 	0.0812 	0.0833 	0.0789 	0.0750 	0.0727 	0.0681 	0.0608 	0.0611 	0.1064 
KWH_LE15000,NETC,PPS,PT	0.0534 	0.0604 	0.0632 	0.0520 	0.0641 	0.0550 	0.0506 	0.0420 	0.0421 	0.0479 	0.0327 	: 
KWH_LE15000,NETC,PPS,RO	0.0798 	0.0794 	0.0895 	0.1014 	0.1015 	0.1049 	0.1010 	0.1003 	0.1031 	0.0988 	0.0986 	0.0976 
KWH_LE15000,NETC,PPS,RS	0.0432 	0.0440 	0.0462 	0.0448 	0.0435 	0.0453 	: 	: 	: 	: 	: 	: 
KWH_LE15000,NETC,PPS,SE	0.0293 	0.0324 	0.0332 	0.0310 	0.0275 	0.0298 	0.0283 	0.0288 	0.0249 	0.0239 	0.0233 	0.0234 
KWH_LE15000,NETC,PPS,SI	0.0520 	0.0522 	0.0540 	0.0524 	0.0539 	0.0529 	0.0531 	0.0491 	0.0437 	0.0405 	0.0438 	: 
KWH_LE15000,NETC,PPS,SK	0.0272 	0.0249 	0.0740 	0.0697 	0.0714 	0.0712 	0.0669 	0.0672 	0.0582 	0.0622 	0.0459 	0.0423 
KWH_LE15000,NETC,PPS,TR	0.0603 	0.0643 	0.0652 	0.0710 	0.0550 	0.0546 	0.0565 	0.0539 	0.0312 	0.0270 	0.0239 	: 
KWH_LE15000,NETC,PPS,UK	0.0314 	0.0348 	0.0377 	0.0334 	0.0298 	0.0282 	0.0262 	0.0259 	: 	0.0344 	0.0372 	: 
KWH_LE15000,NRG_SUP,EUR,AL	0.0759 	0.0713 	0.0695 	0.0683 	: 	: 	: 	: 	: 	: 	: 	: 
KWH_LE15000,NRG_SUP,EUR,AT	0.0532 	0.0521 	0.0500 	0.0544 	0.0602 	0.0690 	0.0684 	0.0739 	0.0674 	0.0674 	0.0631 	: 
KWH_LE15000,NRG_SUP,EUR,BA	0.0343 	0.0340 	0.0330 	0.0320 	: 	0.0321 	0.0327 	: 	: 	: 	: 	: 
KWH_LE15000,NRG_SUP,EUR,BE	0.0718 	0.0603 	0.0590 	0.0508 	0.0519 	0.0507 	0.0534 	0.0516 	0.0510 	0.0450 	0.0745 	0.0478 
KWH_LE15000,NRG_SUP,EUR,BG	0.0575 	0.0564 	0.0539 	0.0573 	0.0511 	0.0449 	0.0478 	0.0414 	0.0475 	0.0424 	0.0486 	0.0337 
KWH_LE15000,NRG_SUP,EUR,CY	0.1065 	0.1048 d	0.0928 	0.1101 	0.1554 	0.1668 	0.2050 	0.1678 	0.1343 	: 	: 	: 
KWH_LE15000,NRG_SUP,EUR,CZ	0.0543 	0.0510 	0.0488 	0.0488 	0.0478 	0.0571 	0.0621 	0.0584 	0.0611 	0.0699 	0.0627 	0.0489 
KWH_LE15000,NRG_SUP,EUR,DE	0.0528 	0.0595 	0.0653 	0.0695 	0.0741 	0.0773 	0.0760 	0.0745 	0.0765 	0.0714 	0.0716 	0.0608 
KWH_LE15000,NRG_SUP,EUR,DK	0.0503 	0.0388 	0.0365 	0.0345 	0.0427 	0.0456 	0.0501 	0.0650 	0.0573 	0.0442 	0.0778 	0.0388 
KWH_LE15000,NRG_SUP,EUR,EA	0.0673 	0.0650 	0.0657 	0.0733 	0.0735 	0.0747 	0.0699 	0.0761 	0.0767 	0.0783 	0.0775 	0.0558 
KWH_LE15000,NRG_SUP,EUR,EE	0.0485 	0.0384 	0.0407 	0.0393 	0.0436 	0.0455 	0.0406 	0.0309 	0.0294 	0.0290 	0.0273 	0.0238 
KWH_LE15000,NRG_SUP,EUR,EL	0.0820 	0.0720 	0.0903 	0.0932 	0.0954 	0.0954 	0.0848 	0.0769 	0.1116 	0.1073 	: 	: 
KWH_LE15000,NRG_SUP,EUR,ES	0.1098 d	0.0983 d	0.0959 	0.1201 	0.1086 	0.1202 	0.0672 	0.0794 	0.0696 	0.0807 	0.0804 	: 
KWH_LE15000,NRG_SUP,EUR,EU28	0.0657 	0.0618 	0.0657 	0.0739 	0.0763 	0.0768 	0.0735 	0.0758 	0.0721 	0.0734 	0.0757 	0.0507 
KWH_LE15000,NRG_SUP,EUR,FI	0.0412 	0.0394 	0.0406 	0.0441 	0.0479 	0.0518 	0.0530 	0.0547 	0.0492 	0.0475 	0.0476 	0.0401 
KWH_LE15000,NRG_SUP,EUR,FR	0.0546 	0.0527 	0.0534 	0.0557 	0.0542 	0.0499 	0.0514 	: 	: 	: 	: 	: 
KWH_LE15000,NRG_SUP,EUR,GE	0.0391 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
KWH_LE15000,NRG_SUP,EUR,HR	0.0550 	0.0543 	0.0556 	0.0543 	0.0562 	0.0592 	0.0620 	0.0511 	0.0523 	0.0521 	0.0515 	0.0342 
KWH_LE15000,NRG_SUP,EUR,HU	0.0430 	0.0463 	0.0486 	0.0517 	0.0492 	0.0597 	0.0662 	: 	0.0728 	0.0791 	0.0984 	0.0507 
KWH_LE15000,NRG_SUP,EUR,IE	0.0861 	0.0788 	0.0932 	0.1059 	0.1021 	0.0934 	0.0972 	0.0889 	: 	: 	: 	: 
KWH_LE15000,NRG_SUP,EUR,IS	0.0475 	0.0483 	0.0444 	0.0368 	0.0329 	0.0300 	0.0307 	: 	: 	: 	: 	: 
KWH_LE15000,NRG_SUP,EUR,IT	0.0910 d	0.0843 d	0.0739 d	0.0926 	0.0922 	0.0942 	0.1035 	0.0930 	0.1019 	0.1061 	0.1101 	: 
KWH_LE15000,NRG_SUP,EUR,LI	: 	0.0489 	0.0718 	0.0796 	0.0710 	: 	: 	: 	: 	: 	: 	: 
KWH_LE15000,NRG_SUP,EUR,LT	0.0350 	0.0382 	0.0403 	0.0516 	0.0503 	0.0481 	0.0491 	0.0487 	0.0463 	0.0377 	0.0365 	0.0311 
KWH_LE15000,NRG_SUP,EUR,LU	0.0433 	0.0418 	0.0429 	0.0466 	0.0556 	0.0550 	0.0561 	0.0501 	0.0510 	0.0529 	0.0310 	0.0206 
KWH_LE15000,NRG_SUP,EUR,LV	0.0465 	0.0459 	0.0490 	0.0526 	0.0399 	0.0343 	0.0484 	0.0638 	0.0486 	0.0494 	0.0492 	0.0359 
KWH_LE15000,NRG_SUP,EUR,MD	0.0629 	0.0670 	0.0586 	0.0576 	: 	: 	: 	: 	: 	: 	: 	: 
KWH_LE15000,NRG_SUP,EUR,ME	0.0403 	0.0381 	0.0388 	0.0386 	0.0379 	0.0358 	0.0370 	0.0346 	: 	: 	: 	: 
KWH_LE15000,NRG_SUP,EUR,MK	0.0504 	0.0517 	0.0445 	0.0657 	: 	: 	: 	: 	: 	: 	: 	: 
KWH_LE15000,NRG_SUP,EUR,MT	0.3027 	0.3189 	0.3529 	0.3071 	0.3478 	0.3351 	0.3159 	0.3281 	0.3467 	0.1802 	0.1653 	0.1111 
KWH_LE15000,NRG_SUP,EUR,NL	: u	: u	0.0529 	0.0566 	0.0651 	0.0696 	0.0741 	0.0733 	0.0733 	0.0896 	: 	: 
KWH_LE15000,NRG_SUP,EUR,NO	0.0506 	0.0360 	0.0372 	0.0248 	0.0375 	0.0427 	0.0341 	0.0447 	0.0516 	0.0376 	0.0519 	0.0333 
KWH_LE15000,NRG_SUP,EUR,PL	0.0429 	0.0472 	0.0559 	0.0585 	0.0584 	0.0598 	0.0650 	0.0592 	0.0609 	0.0552 	0.0490 	0.0341 
KWH_LE15000,NRG_SUP,EUR,PT	0.0524 	0.0558 	0.0676 	0.0678 	0.0711 	0.0732 	0.0661 	0.0548 	0.0533 	0.0739 	0.0582 	: 
KWH_LE15000,NRG_SUP,EUR,RO	0.0538 	0.0443 	0.0406 	0.0397 	0.0357 	0.0325 	0.0258 	0.0316 	0.0285 	0.0272 	0.0398 	0.0427 
KWH_LE15000,NRG_SUP,EUR,RS	0.0456 	0.0428 	0.0410 	0.0393 	0.0375 	0.0443 	: 	: 	: 	: 	: 	: 
KWH_LE15000,NRG_SUP,EUR,SE	0.0472 	0.0355 	0.0422 	0.0378 	0.0453 	0.0534 	0.0565 	0.0595 	0.0629 	0.0512 	0.0579 	0.0496 
KWH_LE15000,NRG_SUP,EUR,SI	0.0515 	0.0513 	0.0530 	0.0551 	0.0559 	0.0580 	0.0585 	0.0578 	0.0598 	0.0608 	0.0504 	: 
KWH_LE15000,NRG_SUP,EUR,SK	0.0390 	0.0346 	0.0455 	0.0473 	0.0515 	0.0602 	0.0636 	0.0618 	0.0652 	0.0683 	0.0557 	0.0424 
KWH_LE15000,NRG_SUP,EUR,TR	0.0422 	0.0500 	0.0644 	0.0619 	0.0737 	0.0747 	0.0830 	0.0627 	0.0898 	0.0785 	0.0828 	: 
KWH_LE15000,NRG_SUP,EUR,UK	0.0807 	0.0697 	0.0895 	0.1113 	0.1246 	0.1160 	0.1128 	0.0976 	: 	0.0788 	0.0881 	: 
KWH_LE15000,NRG_SUP,EUR,XK	0.0241 	0.0256 	0.0334 	0.0326 	0.0312 	0.0300 	: 	: 	: 	: 	: 	: 
KWH_LE15000,NRG_SUP,NAT,AL	9.5000 	9.5000 	9.5000 	9.5000 	: 	: 	: 	: 	: 	: 	: 	: 
KWH_LE15000,NRG_SUP,NAT,AT	0.0532 	0.0521 	0.0500 	0.0544 	0.0602 	0.0690 	0.0684 	0.0739 	0.0674 	0.0674 	0.0631 	: 
KWH_LE15000,NRG_SUP,NAT,BA	0.0671 	0.0665 	0.0646 	0.0626 	: 	0.0630 	0.0640 	: 	: 	: 	: 	: 
KWH_LE15000,NRG_SUP,NAT,BE	0.0718 	0.0603 	0.0590 	0.0508 	0.0519 	0.0507 	0.0534 	0.0516 	0.0510 	0.0450 	0.0745 	0.0478 
KWH_LE15000,NRG_SUP,NAT,BG	0.1125 	0.1104 	0.1054 	0.1120 	0.0999 	0.0879 	0.0934 	0.0809 	0.0929 	0.0830 	0.0950 	0.0660 
KWH_LE15000,NRG_SUP,NAT,CY	0.1065 	0.1048 d	0.0928 	0.1101 	0.1554 	0.1668 	0.2050 	0.1678 	0.1343 	: 	: 	: 
KWH_LE15000,NRG_SUP,NAT,CZ	1.4000 	1.3200 	1.3200 	1.3200 	1.3200 	1.5000 	1.5600 	1.4500 	1.5200 	1.8000 	1.5500 	1.3400 
KWH_LE15000,NRG_SUP,NAT,DE	0.0528 	0.0595 	0.0653 	0.0695 	0.0741 	0.0773 	0.0760 	0.0745 	0.0765 	0.0714 	0.0716 	0.0608 
KWH_LE15000,NRG_SUP,NAT,DK	0.3749 	0.2889 	0.2718 	0.2572 	0.3182 	0.3403 	0.3736 	0.4842 	0.4272 	0.3289 	0.5798 	0.2889 
KWH_LE15000,NRG_SUP,NAT,EE	0.0485 	0.0384 	0.0407 	0.0393 	0.0436 	0.0455 	0.0406 	0.0309 	0.4600 	0.4540 	0.4270 	0.3720 
KWH_LE15000,NRG_SUP,NAT,EL	0.0820 	0.0720 	0.0903 	0.0932 	0.0954 	0.0954 	0.0848 	0.0769 	0.1116 	0.1073 	: 	: 
KWH_LE15000,NRG_SUP,NAT,ES	0.1098 d	0.0983 d	0.0959 	0.1201 	0.1086 	0.1202 	0.0672 	0.0794 	0.0696 	0.0807 	0.0804 	: 
KWH_LE15000,NRG_SUP,NAT,FI	0.0412 	0.0394 	0.0406 	0.0441 	0.0479 	0.0518 	0.0530 	0.0547 	0.0492 	0.0475 	0.0476 	0.0401 
KWH_LE15000,NRG_SUP,NAT,FR	0.0546 	0.0527 	0.0534 	0.0557 	0.0542 	0.0499 	0.0514 	: 	: 	: 	: 	: 
KWH_LE15000,NRG_SUP,NAT,GE	0.1173 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
KWH_LE15000,NRG_SUP,NAT,HR	0.4082 	0.4058 	0.4173 	0.4129 	0.4294 	0.4490 	0.4649 	0.3820 	0.3820 	0.3800 	0.3700 	0.2500 
KWH_LE15000,NRG_SUP,NAT,HU	13.9157 	14.3012 	15.0681 	16.1373 	15.2684 	17.7872 	18.7348 	: 	20.3200 	21.4416 	24.5628 	12.7936 
KWH_LE15000,NRG_SUP,NAT,IE	0.0861 	0.0788 	0.0932 	0.1059 	0.1021 	0.0934 	0.0972 	0.0889 	: 	: 	: 	: 
KWH_LE15000,NRG_SUP,NAT,IS	6.2440 	5.9729 	5.6317 	5.2939 	5.0768 	4.8499 	4.8659 	: 	: 	: 	: 	: 
KWH_LE15000,NRG_SUP,NAT,IT	0.0910 d	0.0843 d	0.0739 d	0.0926 	0.0922 	0.0942 	0.1035 	0.0930 	0.1019 	0.1061 	0.1101 	: 
KWH_LE15000,NRG_SUP,NAT,LI	: 	0.0561 	0.0779 	0.0859 	0.0858 	: 	: 	: 	: 	: 	: 	: 
KWH_LE15000,NRG_SUP,NAT,LT	0.0350 	0.0382 	0.0403 	0.0516 	0.1737 	0.1662 	0.1696 	0.1681 	0.1598 	0.1301 	0.1259 	0.1073 
KWH_LE15000,NRG_SUP,NAT,LU	0.0433 	0.0418 	0.0429 	0.0466 	0.0556 	0.0550 	0.0561 	0.0501 	0.0510 	0.0529 	0.0310 	0.0206 
KWH_LE15000,NRG_SUP,NAT,LV	0.0465 	0.0459 	0.0490 	0.0526 	0.0399 	0.0241 	0.0337 	0.0450 	0.0345 	0.0348 	0.0348 	0.0251 
KWH_LE15000,NRG_SUP,NAT,MD	1.2242 	1.3889 	1.2820 	1.2438 	: 	: 	: 	: 	: 	: 	: 	: 
KWH_LE15000,NRG_SUP,NAT,ME	0.0403 	0.0381 	0.0388 	0.0386 	0.0379 	0.0358 	0.0370 	0.0346 	: 	: 	: 	: 
KWH_LE15000,NRG_SUP,NAT,MK	3.1019 	3.1808 	2.7364 	4.0487 	: 	: 	: 	: 	: 	: 	: 	: 
KWH_LE15000,NRG_SUP,NAT,MT	0.3027 	0.3189 	0.3529 	0.3071 	0.3478 	0.3351 	0.3159 	0.3281 	0.3467 	0.1802 	0.1653 	0.0477 
KWH_LE15000,NRG_SUP,NAT,NL	: u	: u	0.0529 	0.0566 	0.0651 	0.0696 	0.0741 	0.0733 	0.0733 	0.0896 	: 	: 
KWH_LE15000,NRG_SUP,NAT,NO	0.4860 	0.3416 	0.3404 	0.2295 	0.3164 	0.3449 	0.2519 	0.3470 	0.4130 	0.3225 	0.4413 	0.2626 
KWH_LE15000,NRG_SUP,NAT,PL	0.1844 	0.2004 	0.2436 	0.2472 	0.2449 	0.2522 	0.2681 	0.2537 	0.2427 	0.2312 	0.1732 	0.1270 
KWH_LE15000,NRG_SUP,NAT,PT	0.0524 	0.0558 	0.0676 	0.0678 	0.0711 	0.0732 	0.0661 	0.0548 	0.0533 	0.0739 	0.0582 	: 
KWH_LE15000,NRG_SUP,NAT,RO	0.2506 	0.2039 	0.1823 	0.1766 	0.1580 	0.1445 	0.1167 	0.1358 	0.1218 	0.1157 	0.1473 	0.1428 
KWH_LE15000,NRG_SUP,NAT,RS	5.3935 	5.1148 	5.0483 	4.7358 	4.4545 	5.0649 	: 	: 	: 	: 	: 	: 
KWH_LE15000,NRG_SUP,NAT,SE	0.4895 	0.3437 	0.4066 	0.3541 	0.4186 	0.4682 	0.4821 	0.5423 	0.5850 	0.5320 	0.5710 	0.4600 
KWH_LE15000,NRG_SUP,NAT,SI	0.0515 	0.0513 	0.0530 	0.0551 	0.0559 	0.0580 	0.0585 	0.0578 	0.0598 	0.0608 	0.0504 	: 
KWH_LE15000,NRG_SUP,NAT,SK	0.0390 	0.0346 	0.0455 	0.0473 	0.0515 	0.0602 	0.0636 	0.0618 	0.0652 	0.0683 	1.6900 	1.4200 
KWH_LE15000,NRG_SUP,NAT,TR	0.2716 	0.2150 	0.2207 	0.1968 	0.2099 	0.2003 	0.1901 	0.1546 	0.1772 	0.1707 	0.1594 	: 
KWH_LE15000,NRG_SUP,NAT,UK	0.0718 	0.0622 	0.0769 	0.0801 	0.0986 	0.0983 	0.0902 	0.0847 	: 	0.0700 	0.0720 	: 
KWH_LE15000,NRG_SUP,NAT,XK	0.0241 	0.0256 	0.0334 	0.0326 	0.0312 	0.0300 	: 	: 	: 	: 	: 	: 
KWH_LE15000,NRG_SUP,PPS,AL	0.1537 	0.1576 	0.1637 	0.1631 	: 	: 	: 	: 	: 	: 	: 	: 
KWH_LE15000,NRG_SUP,PPS,AT	0.0483 	0.0479 	0.0469 	0.0501 	0.0545 	0.0617 	0.0621 	0.0667 	0.0611 	0.0601 	0.0578 	: 
KWH_LE15000,NRG_SUP,PPS,BA	0.0699 	0.0693 	0.0698 	0.0679 	: 	0.0661 	0.0678 	: 	: 	: 	: 	: 
KWH_LE15000,NRG_SUP,PPS,BE	0.0650 	0.0552 	0.0552 	0.0460 	0.0468 	0.0450 	0.0482 	0.0465 	0.0460 	0.0394 	0.0666 	0.0437 
KWH_LE15000,NRG_SUP,PPS,BG	0.1193 	0.1171 	0.1163 	0.1239 	0.1083 	0.0945 	0.1016 	0.0874 	0.1071 	0.0949 	0.1136 	0.0841 
KWH_LE15000,NRG_SUP,PPS,CY	0.1194 	0.1185 d	0.1049 	0.1209 	0.1768 	0.1869 	0.2258 	0.1823 	0.1514 	: 	: 	: 
KWH_LE15000,NRG_SUP,PPS,CZ	0.0777 	0.0747 	0.0770 	0.0763 	0.0757 	0.0858 	0.0881 	0.0816 	0.0831 	0.0974 	0.0849 	0.0780 
KWH_LE15000,NRG_SUP,PPS,DE	0.0493 	0.0561 	0.0630 	0.0666 	0.0711 	0.0735 	0.0735 	0.0717 	0.0733 	0.0664 	0.0689 	0.0594 
KWH_LE15000,NRG_SUP,PPS,DK	0.0377 	0.0289 	0.0272 	0.0265 	0.0317 	0.0335 	0.0371 	0.0481 	0.0420 	0.0316 	0.0565 	0.0285 
KWH_LE15000,NRG_SUP,PPS,EE	0.0640 	0.0524 	0.0571 	0.0542 	0.0584 	0.0624 	0.0423 	0.0445 	0.0434 	0.0414 	0.0384 	0.0350 
KWH_LE15000,NRG_SUP,PPS,EL	0.0997 	0.0877 	0.1094 	0.1140 	0.1151 	0.1118 	0.0948 	0.0829 	0.1214 	0.1157 	: 	: 
KWH_LE15000,NRG_SUP,PPS,ES	0.1215 d	0.1092 d	0.1073 	0.1342 	0.1214 	0.1335 	0.0742 	0.0851 	0.0741 	0.0856 	0.0872 	: 
KWH_LE15000,NRG_SUP,PPS,FI	0.0332 	0.0317 	0.0335 	0.0355 	0.0385 	0.0420 	0.0439 	0.0455 	0.0412 	0.0396 	0.0405 	0.0346 
KWH_LE15000,NRG_SUP,PPS,FR	0.0498 	0.0481 	0.0498 	0.0520 	0.0494 	0.0450 	0.0458 	: 	: 	: 	: 	: 
KWH_LE15000,NRG_SUP,PPS,HR	0.0852 	0.0846 	0.0881 	0.0858 	0.0888 	0.0933 	0.0964 	0.0763 	0.0745 	0.0742 	0.0754 	0.0528 
KWH_LE15000,NRG_SUP,PPS,HU	0.0729 	0.0779 	0.0861 	0.0923 	0.0874 	0.1039 	0.1174 	: 	0.1236 	0.1285 	0.1483 	0.0790 
KWH_LE15000,NRG_SUP,PPS,IE	0.0770 	0.0714 	0.0865 	0.0950 	0.0917 	0.0848 	0.0886 	0.0806 	: 	: 	: 	: 
KWH_LE15000,NRG_SUP,PPS,IS	0.0323 	0.0305 	0.0300 	0.0285 	0.0273 	0.0265 	0.0270 	: 	: 	: 	: 	: 
KWH_LE15000,NRG_SUP,PPS,IT	0.0920 d	0.0859 d	0.0753 d	0.0920 	0.0919 	0.0934 	0.1031 	0.0913 	0.0997 	0.1024 	0.1090 	: 
KWH_LE15000,NRG_SUP,PPS,LT	0.0552 	0.0623 	0.0677 	0.0855 	0.0820 	0.0785 	0.0815 	0.0807 	0.0783 	0.0608 	0.0579 	0.0540 
